"% negative,",cik,filingdate
1.7862685633747115,12927,2010-02-08
1.3951578358592027,101829,2010-02-11
0.8147135132334272,66740,2010-02-16
0.3142287387451726,30554,2010-02-17
1.1578085208462774,86312,2010-02-18
0.5723772564539622,18230,2010-02-19
0.7260877474669979,40545,2010-02-19
1.9665936909611696,50863,2010-02-22
0.6602162449498787,51143,2010-02-23
1.9169680219388423,19617,2010-02-24
1.2379443296138104,1103982,2010-02-25
0.8776561467111801,732717,2010-02-25
2.5826682874407627,93410,2010-02-25
1.3025063262947305,21344,2010-02-26
0.8837316427317132,34088,2010-02-26
1.1696370160379042,4962,2010-02-26
1.897452434698484,63908,2010-02-26
1.1968152601074316,70858,2010-02-26
1.8324108098051075,732712,2010-02-26
1.7326305505749109,78003,2010-02-26
2.7940426496420683,200406,2010-03-01
1.9924343121178976,310158,2010-03-01
3.2123012889038827,354950,2010-03-25
2.51438552687484,104169,2010-03-30
5.808340186956401,789019,2010-07-30
4.760611419909045,80424,2010-08-13
6.061940864595416,858877,2010-09-21
6.335435053345389,47217,2010-12-15
4.0828805893375675,30554,2011-02-08
6.847748830597595,12927,2011-02-09
6.711852572747826,101829,2011-02-10
5.676372976513735,66740,2011-02-16
6.436997856137871,86312,2011-02-17
13.238592484666455,50863,2011-02-18
4.447507488577331,18230,2011-02-22
4.456292436415133,51143,2011-02-22
8.818496036674697,93410,2011-02-24
8.494082869033335,200406,2011-02-25
4.458855288604675,34088,2011-02-25
8.193962352563561,40545,2011-02-25
6.177292812697267,63908,2011-02-25
9.615073394647556,70858,2011-02-25
6.303491373454692,1103982,2011-02-28
15.680652691690304,19617,2011-02-28
7.585719738745476,21344,2011-02-28
10.660443518517758,310158,2011-02-28
8.06984854381107,4962,2011-02-28
7.167475143696913,732712,2011-02-28
5.640386940386037,78003,2011-02-28
4.843096157785387,732717,2011-03-01
5.81237307919858,354950,2011-03-24
5.892267269296684,104169,2011-03-30
0.4638271325978249,789019,2011-07-28
0.2351948531350525,80424,2011-08-10
0.5322071588332156,858877,2011-09-14
0.3460060235223457,47217,2011-12-14
0.422442512391322,101829,2012-02-09
0.503617025636822,12927,2012-02-09
0.23221375770683364,30554,2012-02-09
0.2524752332544185,66740,2012-02-16
0.5410294974940356,86312,2012-02-16
0.19245283690066745,18230,2012-02-21
0.6190606268557939,200406,2012-02-23
0.29024316585815263,21344,2012-02-23
0.42289639793551176,50863,2012-02-23
0.26370566628657544,70858,2012-02-23
0.3997108355109745,93410,2012-02-23
0.3284037162597786,34088,2012-02-24
0.2485116402983717,40545,2012-02-24
0.4309756113424121,4962,2012-02-24
0.4968567078213158,63908,2012-02-24
0.4075838887217886,732712,2012-02-24
0.3289334003075983,732717,2012-02-24
0.4856584708091934,1103982,2012-02-27
0.6331414011189828,310158,2012-02-28
0.2072643696296158,51143,2012-02-28
0.9070321978441496,78003,2012-02-28
0.28284522220293634,19617,2012-02-29
0.26475902388311146,354950,2012-03-22
0.4480296540310949,104169,2012-03-27
0.4816998334895138,789019,2012-07-26
0.30306820849239585,80424,2012-08-08
0.551018520296227,858877,2012-09-12
0.4137416717294281,47217,2012-12-27
0.38345213111026855,101829,2013-02-07
0.2796115229860249,30554,2013-02-07
0.2204503995817095,731766,2013-02-07
0.2921304588227059,12927,2013-02-11
0.3269514725277856,66740,2013-02-14
0.1641338233355201,18230,2013-02-19
0.3616937818704821,50863,2013-02-19
0.5162744818378053,86312,2013-02-19
0.3794150157825916,200406,2013-02-22
0.3991779067778184,4962,2013-02-22
0.2787682333873582,732717,2013-02-22
0.15402602729145898,93410,2013-02-22
