"file name,","file size,","number of words,","% negative,","# of alphabetic,","# of digits,","# of numbers,","average word length,",vocabulary
./files\20100208_10-K_edgar_data_12927_0001193125-10-024406_1.txt,6274792,287866,1.1255236811572051,3952193,261227,92512,4.971055977433945,1808
./files\20100210_10-K_edgar_data_731766_0001193125-10-027229_1.txt,5649396,260104,0.7393196567526836,3589669,210676,76065,4.802951896164611,1667
./files\20100211_10-K_edgar_data_101829_0001193125-10-027861_1.txt,6819640,408442,0.7156462851518698,4324288,419572,97008,4.9458111555618665,1707
./files\20100216_10-K_edgar_data_66740_0001104659-10-007295_1.txt,12834085,722331,0.5022628130316987,8132885,673032,153523,4.871214166358636,1940
./files\20100217_10-K_edgar_data_30554_0001047469-10-000954_1.txt,6507554,382879,0.6472018575058961,4230143,367025,76311,5.031905641207797,1791
./files\20100218_10-K_edgar_data_86312_0001047469-10-000972_1.txt,11026836,558382,0.9874960152726986,7167547,357518,145797,5.010175829450089,2110
./files\20100219_10-K_edgar_data_18230_0000018230-10-000092_1.txt,32681880,1005448,3.5827810090626264,11787077,1079198,300600,5.11036473293497,2156
./files\20100219_10-K_edgar_data_40545_0000040545-10-000010_1.txt,22391867,1453444,2.899251708356153,13479506,1182754,226809,4.907666205233913,2340
./files\20100222_10-K_edgar_data_50863_0000950123-10-015237_1.txt,7415180,315496,0.7787737403960747,4220441,289147,99648,4.866125085579532,1782
./files\20100223_10-K_edgar_data_51143_0001047469-10-001151_1.txt,16515375,927893,0.4613678516811745,10614733,840047,191785,4.834989594705424,1977
./files\20100224_10-K_edgar_data_19617_0000950123-10-016029_1.txt,14110330,530312,1.3171491499343781,7617229,607644,203267,4.757906666264388,2203
./files\20100225_10-K_edgar_data_1103982_0001193125-10-040106_1.txt,7757176,337163,0.8942262347885147,4853623,269091,103890,4.923413897728992,1800
./files\20100225_10-K_edgar_data_732717_0000732717-10-000013_1.txt,11060780,627254,1.9435507784725168,6793049,454622,119808,4.9262435950986365,2143
./files\20100225_10-K_edgar_data_93410_0000950123-10-016846_1.txt,7422900,248608,0.927564680139014,3958390,437623,120750,4.798892231947484,1920
./files\20100226_10-K_edgar_data_21344_0001047469-10-001476_1.txt,6382884,311825,0.8918463881985087,4134749,227737,90124,4.907053635853443,1967
./files\20100226_10-K_edgar_data_34088_0001193125-10-042929_1.txt,10097184,446324,0.7073336858425718,6220770,434206,158641,4.830029306064652,1860
./files\20100226_10-K_edgar_data_4962_0001193125-10-041232_1.txt,9988218,498292,0.9536576946850441,6364853,372197,134018,4.844400472012395,2125
./files\20100226_10-K_edgar_data_63908_0001193125-10-042025_1.txt,4934440,204348,1.0031906355824378,3011589,274361,81424,5.019006792334645,1508
./files\20100226_10-K_edgar_data_70858_0001193125-10-041666_1.txt,20933124,1166496,0.922077743944257,13484922,820030,249473,4.96085970290511,2575
./files\20100226_10-K_edgar_data_732712_0001193125-10-041685_1.txt,5857423,264402,0.8884199060521479,3732488,209338,77710,4.794161920106505,1818
./files\20100226_10-K_edgar_data_78003_0001193125-10-042425_1.txt,9322084,448948,1.229763803380347,5891756,399918,148753,4.975631921737039,2137
./files\20100226_10-K_edgar_data_831001_0001206774-10-000406_1.txt,25940873,1324146,0.5066661833362786,15109166,1107691,413086,4.948572136305211,2238
./files\20100301_10-K_edgar_data_200406_0000950123-10-019392_1.txt,4147403,150693,1.1460386348403708,2314558,195842,66070,4.82432495205484,1498
./files\20100301_10-K_edgar_data_310158_0000950123-10-018679_1.txt,8565386,442005,1.0821144557188267,5141134,315614,105681,4.82194771552358,2305
./files\20100301_10-K_edgar_data_886982_0000950123-10-018464_1.txt,11074594,516378,0.8112274341664439,6499744,405205,132844,4.8726204447129815,2073
./files\20100325_10-K_edgar_data_354950_0001193125-10-067178_1.txt,3706541,152345,1.0102070957366502,2354079,151675,53837,4.7482752962026975,1506
./files\20100330_10-K_edgar_data_104169_0001193125-10-071652_1.txt,5162417,242775,1.2365358871382968,3320225,194657,71753,4.771220265678097,1889
./files\20100407_10-K_edgar_data_1467858_0001193125-10-078119_1.txt,11507142,787070,1.0617861181343464,7671103,355745,153948,4.745109075431665,2705
./files\20100720_10-K_edgar_data_320187_0001193125-10-161874_1.txt,6047016,235957,1.0489199303262884,3689300,354086,88727,4.770750602864081,1844
./files\20100730_10-K_edgar_data_789019_0001193125-10-171791_1.txt,20098498,517048,1.1598536306106977,12012808,1138128,278067,4.887207764076063,1856
./files\20100813_10-K_edgar_data_80424_0001193125-10-188769_1.txt,26662130,472694,1.3139578670344874,14095986,2565834,557313,4.659179088374297,2189
./files\20100921_10-K_edgar_data_858877_0001193125-10-213400_1.txt,21196614,648371,0.9915619298210437,12864782,1085131,270446,4.87752690974766,2088
./files\20101027_10-K_edgar_data_320193_0001193125-10-238044_1.txt,13856525,384832,1.0365562115416598,8431518,796586,181260,4.8208283094960915,1818
./files\20101119_10-K_edgar_data_1403161_0001193125-10-265236_1.txt,19285764,556516,1.2946617886996958,11867691,1048097,243588,4.89486016574546,2020
./files\20101215_10-K_edgar_data_47217_0001047469-10-010444_1.txt,31384279,872487,0.8113587938846081,21353597,1658280,397402,4.912877784998516,2299
./files\20110208_10-K_edgar_data_30554_0001047469-11-000602_1.txt,35998105,1190822,0.5706142479732488,22613394,2413621,488408,5.02166654630163,1930
./files\20110209_10-K_edgar_data_12927_0001193125-11-028490_1.txt,24837328,681104,1.0676783574901922,16363288,1402506,339158,4.976968275035825,1964
./files\20110210_10-K_edgar_data_101829_0001193125-11-029695_1.txt,23953414,828586,0.7891757765639295,15753925,1701968,334138,4.848336805111359,1903
./files\20110210_10-K_edgar_data_731766_0001193125-11-030615_1.txt,19828776,576028,0.8121133000479144,13039949,1070245,266454,4.829022200309707,1951
./files\20110216_10-K_edgar_data_66740_0001104659-11-007845_1.txt,53761286,1640999,0.5477760803023037,34443649,3974406,950275,4.886579455563349,2005
./files\20110217_10-K_edgar_data_86312_0001047469-11-001001_1.txt,34592656,970297,0.9135347218428995,22836049,1961170,472976,5.010264898273415,2196
./files\20110218_10-K_edgar_data_50863_0000950123-11-015783_1.txt,30177902,647361,1.0556706381756085,19543535,1456712,354332,4.836318530155508,1912
./files\20110222_10-K_edgar_data_18230_0001104659-11-008938_1.txt,73688324,2204945,0.522507364129264,44833740,6249725,1449031,4.874174185750665,2360
./files\20110222_10-K_edgar_data_51143_0001047469-11-001117_1.txt,54407506,1720337,0.5405917561501031,34357004,4179642,989432,4.900865934988319,2028
./files\20110224_10-K_edgar_data_93410_0000950123-11-017688_1.txt,21818765,509163,1.1298935704283304,13501459,1295145,297737,4.856623517419766,2011
./files\20110225_10-K_edgar_data_200406_0000950123-11-018128_1.txt,19449724,481065,1.1210543273777973,12140421,1081400,251591,4.901930092607028,1735
./files\20110225_10-K_edgar_data_34088_0001193125-11-047394_1.txt,31425179,926261,0.6670905932561125,20240549,1728623,437712,4.854015228968941,1770
./files\20110225_10-K_edgar_data_40545_0001193125-11-047479_1.txt,56656192,1404409,0.9776354324132073,37235893,3042276,754343,4.9532685991046765,2198
./files\20110225_10-K_edgar_data_63908_0001193125-11-046701_1.txt,14021305,390369,1.0333812367273016,8978444,968549,219988,5.009964930616929,1698
./files\20110225_10-K_edgar_data_70858_0000950123-11-018743_1.txt,91926511,2404016,0.7946702517786903,57810653,4778643,1029044,4.86594307192631,2711
./files\20110225_10-K_edgar_data_831001_0001206774-11-000316_1.txt,101526300,2705332,0.7157716686898318,67223832,6014665,1548338,4.927266228322439,2453
./files\20110228_10-K_edgar_data_1103982_0001193125-11-048979_1.txt,26612032,724078,1.0671502241471222,17311406,1420303,363498,4.933371819058168,2070
./files\20110228_10-K_edgar_data_19617_0000950123-11-019773_1.txt,91842309,1731615,1.3589048373916834,62045862,4194891,1047124,4.766142011936833,2329
./files\20110228_10-K_edgar_data_21344_0001047469-11-001506_1.txt,30388930,836609,0.9462006743891113,21092672,1497161,366682,4.854032170344809,2245
./files\20110228_10-K_edgar_data_310158_0000950123-11-019286_1.txt,32368349,792323,1.1181046113769257,21104041,1516831,363235,4.887182373855107,2291
./files\20110228_10-K_edgar_data_4962_0000950123-11-019072_1.txt,36969563,987092,1.1167145514298564,23170771,1955226,463759,4.824000194510745,2532
./files\20110228_10-K_edgar_data_732712_0001193125-11-049476_1.txt,23409176,637695,0.9705266624326676,15631959,1216189,301310,4.8455405797442355,2040
./files\20110228_10-K_edgar_data_78003_0001193125-11-048877_1.txt,58034191,1604677,2.80829101432874,32336123,3674240,804464,4.926693658599207,2306
./files\20110301_10-K_edgar_data_1467858_0001193125-11-051462_1.txt,11620572,706790,0.8282516730570608,7626219,334987,151794,4.824220772789655,2358
./files\20110301_10-K_edgar_data_732717_0000732717-11-000014_1.txt,38688376,1338168,2.0220928911765936,24921067,2628280,593056,4.957828912363769,2218
./files\20110301_10-K_edgar_data_886982_0000950123-11-020067_1.txt,47514321,1095792,0.9095704294245623,30223881,2353047,566137,4.896146348942135,2260
./files\20110324_10-K_edgar_data_354950_0001193125-11-076501_1.txt,8714969,266746,0.9874562317710481,5808962,462755,116818,4.7996820945768635,1703
./files\20110330_10-K_edgar_data_104169_0001193125-11-083157_1.txt,14621834,447137,1.0873624862178706,9657122,779986,201173,4.804563254662441,1989
./files\20110722_10-K_edgar_data_320187_0001193125-11-194791_1.txt,11137201,411950,1.678601772059716,6511504,757269,175011,4.770413885180241,1764
./files\20110728_10-K_edgar_data_789019_0001193125-11-200680_1.txt,16947560,565475,1.6437508289491136,9638106,1200566,290075,4.861378487112605,1855
./files\20110810_10-K_edgar_data_80424_0000080424-11-000014_1.txt,30517793,879338,1.3051864015884678,16360545,3238979,593943,4.899357243744726,2076
./files\20110914_10-K_edgar_data_858877_0001193125-11-247394_1.txt,20682516,773601,1.441828539518434,12064654,1313605,311977,4.769474186305343,2098
./files\20111026_10-K_edgar_data_320193_0001193125-11-282113_1.txt,9435428,353074,1.7455264335521734,5661152,673765,152381,4.776570917144848,1801
./files\20111118_10-K_edgar_data_1403161_0001193125-11-315956_1.txt,16072582,614918,1.9387950913780376,9759456,1090630,247204,4.859686982654598,2049
./files\20111214_10-K_edgar_data_47217_0001047469-11-010094_1.txt,26113162,904576,1.3234929956134145,15860086,1647243,385122,4.898144545068629,2118
./files\20120209_10-K_edgar_data_101829_0001193125-12-047752_1.txt,20396090,935496,1.1802295252999477,11784195,1748281,331168,4.8452414548004485,2103
./files\20120209_10-K_edgar_data_12927_0001193125-12-048565_1.txt,19873321,703687,1.7388412746007813,11440483,1339267,304028,4.915269146651849,1914
./files\20120209_10-K_edgar_data_30554_0000030554-12-000005_1.txt,25594761,1090326,1.0748161559019964,15343536,2290564,358597,5.046209115438868,1884
./files\20120209_10-K_edgar_data_731766_0000731766-12-000009_1.txt,22791003,995661,2.078317821025429,13915975,1917637,297243,5.116324733016559,1902
./files\20120216_10-K_edgar_data_66740_0001104659-12-010566_1.txt,43681216,1665220,0.8476357478291157,24844539,3971114,924303,4.867124464034783,2027
./files\20120216_10-K_edgar_data_86312_0001047469-12-001096_1.txt,27009708,989281,1.4308371433394558,15585083,1985975,476118,4.950595432440328,2222
./files\20120221_10-K_edgar_data_18230_0001104659-12-011331_1.txt,63153386,2304783,0.7463609372335703,35182801,6116079,1411864,4.873509566844254,2215
./files\20120223_10-K_edgar_data_200406_0001193125-12-075565_1.txt,17446618,592422,1.7551677689214784,9768908,1173194,273113,4.775411784167368,1845
./files\20120223_10-K_edgar_data_21344_0000021344-12-000007_1.txt,35749499,1488368,1.7075750083312728,21270246,3100481,511236,4.981561011792782,2200
./files\20120223_10-K_edgar_data_50863_0001193125-12-075534_1.txt,26324045,1075449,1.1055847371655931,14705696,2319165,429489,4.792065453591942,2011
./files\20120223_10-K_edgar_data_70858_0000070858-12-000155_1.txt,119537911,5235004,1.8052708269181836,72381514,10082524,1634988,4.993311179895946,2702
./files\20120223_10-K_edgar_data_93410_0000950123-12-002976_1.txt,18514759,556003,1.9341622257433861,9690303,1328878,297462,4.764425731515837,2051
./files\20120224_10-K_edgar_data_34088_0001193125-12-078102_1.txt,25918019,944352,1.181974517976348,14966303,1741135,413419,5.024254727050931,1898
./files\20120224_10-K_edgar_data_40545_0000040545-12-000016_1.txt,54597322,2447253,1.4554686417791702,31043922,4856068,894630,4.8326307087988045,2099
./files\20120224_10-K_edgar_data_4962_0001193125-12-077400_1.txt,35096873,1587294,1.1069152910550912,20563667,2912089,555920,4.790260657445943,2482
./files\20120224_10-K_edgar_data_63908_0001193125-12-077317_1.txt,11537009,415711,1.6564392089696929,6570167,891129,203651,4.9420751435492445,1749
./files\20120224_10-K_edgar_data_732712_0001193125-12-077846_1.txt,17799660,635840,1.5793281328636135,10340748,1142618,267536,4.790223955712129,1876
./files\20120224_10-K_edgar_data_732717_0000732717-12-000025_1.txt,26485348,1417412,1.9263277014728253,16028581,2006772,383123,4.844937110734211,2561
./files\20120224_10-K_edgar_data_831001_0001206774-12-000799_1.txt,74199217,2578709,1.224915257983743,42721778,5624484,1409193,4.835055060497327,2419
./files\20120227_10-K_edgar_data_1103982_0001193125-12-080318_1.txt,19472284,668625,1.6466629276500282,11183196,1258456,301882,4.887509441017013,1894
./files\20120227_10-K_edgar_data_1467858_0001467858-12-000014_1.txt,75887000,3196114,2.0815590432631628,45400118,6633079,1055662,5.142922311281763,2247
./files\20120228_10-K_edgar_data_310158_0001193125-12-084319_1.txt,24753614,965923,1.5173052096285107,14290939,1656657,385965,4.82581841409719,2277
./files\20120228_10-K_edgar_data_51143_0001047469-12-001742_1.txt,48253491,1859539,0.8126207624577919,27462555,4420929,1041164,4.875539582660004,2043
./files\20120228_10-K_edgar_data_78003_0001193125-12-085703_1.txt,28949558,1060492,1.8760160378390407,16508819,2261869,474866,4.912335972359999,2495
./files\20120228_10-K_edgar_data_886982_0001193125-12-085822_1.txt,35622454,1383105,1.5307586914948612,20079356,2823988,608934,5.0095683263382025,2355
./files\20120229_10-K_edgar_data_19617_0000019617-12-000163_1.txt,117703580,4977356,1.7112900905621378,70990189,10079245,1633647,4.94926422783502,2487
./files\20120322_10-K_edgar_data_354950_0000354950-12-000003_1.txt,10720803,457559,1.7997678987846377,6471239,913774,136477,5.03188878374155,1658
./files\20120327_10-K_edgar_data_104169_0001193125-12-134679_1.txt,11592603,429236,1.5888695263211845,6745651,728709,174063,4.790898247118135,1812
./files\20120724_10-K_edgar_data_320187_0001193125-12-312306_1.txt,12966294,498875,1.545878226008519,7518411,1046803,220933,4.928372838887497,2027
./files\20120726_10-K_edgar_data_789019_0001193125-12-316848_1.txt,17227772,565650,1.7360558649341464,9764874,1293799,306564,4.851864226995492,1867
./files\20120808_10-K_edgar_data_80424_0000080424-12-000063_1.txt,20871611,925787,1.3549552974928358,12647718,1765092,282047,5.0289645458404575,1933
./files\20120912_10-K_edgar_data_858877_0001193125-12-388590_1.txt,20547000,759862,1.6060811042004994,11984813,1469019,332247,4.7529985707931175,2113
./files\20121031_10-K_edgar_data_320193_0001193125-12-444068_1.txt,9859755,351771,1.7409053048716352,5707912,728568,161314,4.75789362966248,1606
./files\20121116_10-K_edgar_data_1403161_0001384108-12-000011_1.txt,21352959,892638,2.0907691583822334,13010359,1822882,275237,5.010572034800221,1964
./files\20121227_10-K_edgar_data_47217_0001047469-12-011417_1.txt,28346359,980336,1.335970524391637,17064303,1922524,450943,4.869083661112109,2104
./files\20130207_10-K_edgar_data_101829_0001193125-13-042195_1.txt,26048117,1129894,1.1041743738793197,14476408,2200984,390557,4.835950097973792,1945
./files\20130207_10-K_edgar_data_30554_0000030554-13-000006_1.txt,28490145,1211697,1.1178537208559567,17011607,2581502,400084,5.047818060125593,2019
